CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
21359f5303c4        peer1.org1.example.com                        29.03%              56.08MiB / 7.237GiB   0.76%               21.6MB / 20.2MB     50.4MB / 19.3MB     12
792281940d0d        peer0.org1.example.com                        26.83%              57.29MiB / 7.237GiB   0.77%               34.4MB / 36.2MB     7.73MB / 19.3MB     13
96a31da47f12        couchdb1                                      74.30%              103.8MiB / 7.237GiB   1.40%               6.3MB / 11MB        63.1MB / 35.9MB     29
e6c3d04e54ee        orderer.example.com                           5.86%               21.02MiB / 7.237GiB   0.28%               5.02MB / 12.6MB     47.4MB / 14.3MB     11
1e4b47fe2bcf        couchdb                                       70.39%              104.2MiB / 7.237GiB   1.41%               8.59MB / 17.1MB     5.41MB / 35.8MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   15.14%              111MiB / 2GiB         5.42%               6.48MB / 5.42MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   16.55%              100MiB / 2GiB         4.88%               10.9MB / 10.9MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        29.49%              57.66MiB / 7.237GiB   0.78%               23MB / 21.5MB       50.4MB / 20.2MB     12
792281940d0d        peer0.org1.example.com                        30.56%              58.53MiB / 7.237GiB   0.79%               35.9MB / 37.5MB     7.83MB / 20.2MB     13
96a31da47f12        couchdb1                                      80.77%              104.6MiB / 7.237GiB   1.41%               6.73MB / 11.8MB     63.1MB / 37.2MB     29
e6c3d04e54ee        orderer.example.com                           1.40%               21.03MiB / 7.237GiB   0.28%               5.25MB / 13.3MB     47.4MB / 15MB       11
1e4b47fe2bcf        couchdb                                       76.30%              104.1MiB / 7.237GiB   1.40%               9.02MB / 17.9MB     5.41MB / 37.2MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   17.00%              111MiB / 2GiB         5.42%               6.92MB / 5.79MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   21.27%              100.1MiB / 2GiB       4.89%               11.3MB / 11.2MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        24.91%              58.64MiB / 7.237GiB   0.79%               24.3MB / 22.6MB     50.4MB / 20.8MB     12
792281940d0d        peer0.org1.example.com                        26.74%              59.56MiB / 7.237GiB   0.80%               37.2MB / 38.6MB     7.85MB / 20.8MB     13
96a31da47f12        couchdb1                                      65.58%              103.5MiB / 7.237GiB   1.40%               7.12MB / 12.5MB     63.1MB / 38.7MB     29
e6c3d04e54ee        orderer.example.com                           3.26%               21.17MiB / 7.237GiB   0.29%               5.51MB / 13.8MB     47.4MB / 15.6MB     11
1e4b47fe2bcf        couchdb                                       64.47%              103.7MiB / 7.237GiB   1.40%               9.39MB / 18.6MB     5.41MB / 38.7MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   28.80%              111MiB / 2GiB         5.42%               7.35MB / 6.14MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   28.32%              100.1MiB / 2GiB       4.89%               11.7MB / 11.6MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        32.76%              59.6MiB / 7.237GiB    0.80%               25.8MB / 23.8MB     50.4MB / 21.8MB     12
792281940d0d        peer0.org1.example.com                        32.12%              60.8MiB / 7.237GiB    0.82%               38.5MB / 39.8MB     7.93MB / 21.8MB     13
96a31da47f12        couchdb1                                      98.75%              104.2MiB / 7.237GiB   1.41%               7.55MB / 13.3MB     63.1MB / 40.2MB     29
e6c3d04e54ee        orderer.example.com                           1.13%               21.07MiB / 7.237GiB   0.28%               5.72MB / 14.6MB     47.4MB / 16.4MB     11
1e4b47fe2bcf        couchdb                                       77.58%              104.1MiB / 7.237GiB   1.40%               9.81MB / 19.3MB     5.41MB / 40.3MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   11.29%              111.9MiB / 2GiB       5.46%               7.7MB / 6.42MB      50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   12.95%              99.98MiB / 2GiB       4.88%               12.1MB / 11.9MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        26.58%              60.68MiB / 7.237GiB   0.82%               26.9MB / 24.8MB     50.5MB / 22.7MB     12
792281940d0d        peer0.org1.example.com                        31.46%              61.38MiB / 7.237GiB   0.83%               39.7MB / 40.8MB     7.93MB / 22.7MB     13
96a31da47f12        couchdb1                                      77.10%              104.2MiB / 7.237GiB   1.41%               7.88MB / 13.9MB     63.1MB / 41.3MB     29
e6c3d04e54ee        orderer.example.com                           2.83%               21.09MiB / 7.237GiB   0.28%               5.96MB / 15.2MB     47.4MB / 17.1MB     11
1e4b47fe2bcf        couchdb                                       66.60%              103.6MiB / 7.237GiB   1.40%               10.1MB / 20MB       5.41MB / 41.2MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
